code,name,cate_code,cate_name
39840,디오,32701,의료용 기기 제조업
13570,디와이,116409,기타 금융업
210540,디와이파워,32902,특수 목적용 기계 제조업
79810,디이엔티,32902,특수 목적용 기계 제조업
113810,디젠스,33003,자동차 신품 부품 제조업
43360,디지아이,32603,컴퓨터 및 주변장치 제조업
197140,디지캡,105802,소프트웨어 개발 및 공급업
106520,디지탈옵틱,32703,사진장비 및 광학기기 제조업
68930,디지털대성,168505,일반 교습 학원
33130,디지틀조선,106301,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
33310,디케이디앤아이,32509,기타 금속 가공제품 제조업
105740,디케이락,32901,일반 목적용 기계 제조업
7340,디티알오토모티브,32802,일차전지 및 축전지 제조업
187220,디티앤씨,137209,기타 과학기술 서비스업
26890,디피씨,32801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
163430,디피코,137201,"건축기술, 엔지니어링 및 관련 기술 서비스업"
131180,딜리,32603,컴퓨터 및 주변장치 제조업
42510,라온시큐어,105802,소프트웨어 개발 및 공급업
232680,라온테크,32902,특수 목적용 기계 제조업
50120,라이브플렉스,74604,생활용품 도매업
171120,라이온켐텍,32004,기타 화학제품 제조업
69540,라이트론,32604,통신 및 방송 장비 제조업
285770,라이프사이언스테크놀로지,105802,소프트웨어 개발 및 공급업
115390,락앤락,32202,플라스틱제품 제조업
200350,래몽래인,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업"
171010,램테크놀러지,32001,기초 화학물질 제조업
84650,랩지노믹스,137001,자연과학 및 공학 연구개발업
217500,러셀,32902,특수 목적용 기계 제조업
92590,럭스피아,32601,반도체 제조업
141080,레고켐바이오,137001,자연과학 및 공학 연구개발업
60300,레드로버,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업"
38390,레드캡투어,147502,여행사 및 기타 여행보조 서비스업
228850,레이언스,32701,의료용 기기 제조업
47440,레이젠,32602,전자부품 제조업
238120,로고스바이오,32703,사진장비 및 광학기기 제조업
215100,로보로보,32809,기타 전기장비 제조업
90360,로보스타,32902,특수 목적용 기계 제조업
238500,로보쓰리,137309,"그외 기타 전문, 과학 및 기술 서비스업"
900260,로스웰,116409,기타 금융업
67730,로지시스,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
71280,로체시스템즈,32801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
32350,롯데관광개발,147502,여행사 및 기타 여행보조 서비스업
400,롯데손해보험,116501,보험업
23530,롯데쇼핑,74701,종합 소매업
4000,롯데정밀화학,32001,기초 화학물질 제조업
280360,롯데제과,31007,기타 식품 제조업
4990,롯데지주,116409,기타 금융업
5300,롯데칠성음료,31102,비알코올음료 및 얼음 제조업
11170,롯데케미칼,32001,기초 화학물질 제조업
2270,롯데푸드,31005,낙농제품 및 식용빙과류 제조업
71840,롯데하이마트,74703,가전제품 및 정보통신장비 소매업
38060,루멘스,32601,반도체 제조업
82800,루미마이크로,32601,반도체 제조업
162120,루켄테크놀러지스,32809,기타 전기장비 제조업
85370,루트로닉,32701,의료용 기기 제조업
60240,룽투코리아,105802,소프트웨어 개발 및 공급업
58470,리노공업,32602,전자부품 제조업
39980,리노스,74704,"섬유, 의복, 신발 및 가죽제품 소매업"
16100,리더스코스메틱,32004,기타 화학제품 제조업
197210,리드,32902,특수 목적용 기계 제조업
12700,리드코프,74607,기타 전문 도매업
131100,리켐,32001,기초 화학물질 제조업
277070,린드먼아시아,116402,신탁업 및 집합투자업
42500,링네트,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
219420,링크제니시스,105802,소프트웨어 개발 및 공급업
27740,마니커,31001,"도축, 육류 가공 및 저장 처리업"
98120,마이크로컨텍솔,32602,전자부품 제조업
147760,마이크로프랜드,32702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
