code,ratio of operating profit to revenue,ROS,ROE,ROA,debt ratio,EPS,BPS,PER,PBR,cash dividend yield ratio,cash dividend payout ratio,sales_qoq,operating revenue_qoq,net income_qoq,assets_qoq,equity_qoq,assets_turnover_ratio,equity_turnover_ratio,median,var,skew,kurt,slope
130960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91900.0,13945240.040858038,0.5470307666457491,-0.7806245665523837,4.905743293690037e-13
000120,3.1,-0.05,1.34,0.66,126.72,-169.0,134556.0,101.44,1.04,,0.0,0.03267136450992953,-0.04153354632587859,-1.0833333333333333,-0.0008868477314118299,-0.01577476744597319,0.30647844479300346,0.6896256684491978,154000.0,171359425.7178532,-0.2392458403922928,-0.9359241250397536,3.24475001287512e-12
011150,6.35,4.81,7.96,3.83,100.18,52.0,1662.0,22.63,1.73,,,-0.07075471698113207,1.0833333333333333,1.7142857142857142,0.01692047377326565,0.030874785591766724,0.33053691275167785,0.6655405405405406,2832.5,35212.86204744052,0.6226022652949695,-0.8383054018477663,2.3678379987254085e-14
035760,9.37,7.97,13.45,5.16,88.79,7284.0,170555.0,10.97,1.35,,39.95,0.12742740891437027,0.16056910569105692,0.8409090909090909,-0.025935196773744958,0.032345575959933225,0.21471593110492762,0.41729130300852246,223900.0,387303865.16853917,1.520997758909563,0.9639161876471194,3.757396221983867e-12
097950,3.5,0.35,10.91,2.53,174.55,733.0,238582.0,14.33,1.53,,399.83,-0.027115877298388012,-0.441515038989974,-0.9423149905123339,-0.022433817052250917,-0.0299973160296184,0.25150556950822456,0.6877975284104569,339750.0,218274157.30337125,0.7582638188698086,0.2831301373929387,2.004211001451071e-12
051500,1.72,0.15,-0.83,0.14,283.32,34.0,15181.0,-307.69,2.62,,585.03,-0.07416918429003021,-0.2953020134228188,-1.125,0.011543202958646196,-0.005489864864864865,0.6829349824502757,2.595384289646411,35425.0,3140245.0062422096,-0.32654572104327445,-0.012060478022078769,-3.1778058795155486e-13
037560,6.07,2.95,2.96,1.56,89.25,111.0,12746.0,19.04,0.56,,67.8,0.04529115744069015,-0.04864864864864865,0.8695652173913043,-0.06153614306525343,0.005603096984515077,0.15071652543470937,0.29542337583176714,9180.0,765512.1223470679,0.08657223032533826,-0.9821417439102942,1.9601992112012114e-13
058820,2.11,-25.37,-0.19,-0.17,11.49,-25.0,929.0,-3632.76,6.72,,0.0,-0.044642857142857144,-0.75,-4.0,-0.02422145328719723,-0.02601156069364162,0.09369527145359019,0.10444119082479258,5375.0,1046169.1916354548,0.3836504686091717,-1.2729214661670851,-2.813349632001932e-13
023460,3.1,12.74,2.9,0.87,216.41,40.0,2758.0,16.94,0.48,,50.36,0.02654867256637168,-1.5,-4.75,-0.018484848484848486,0.01890547263681592,0.03547943110567365,0.11434204041399704,1430.0,8308.142946317097,0.18370816623531425,-1.4614688515462508,-5.47329806156064e-15
065770,14.79,13.2,5.18,1.9,165.44,106.0,1004.0,33.98,1.8,,0.0,0.39814814814814814,2.6666666666666665,4.0,0.08423326133909287,0.005319148936170213,0.31295336787564765,0.8010610079575596,2397.5,42136.12983770296,0.15215622609171267,-1.042095713043302,1.2395744749447361e-14
083660,-33.64,-34.91,,,29.97,-135.0,1199.0,,3.16,,0.0,-0.11627906976744186,0.13043478260869565,0.17391304347826086,-0.08875739644970414,-0.09541984732824428,0.23529411764705882,0.3046092184368738,11750.0,4400252.134831466,-0.31717477881928496,-0.697933878704081,1.8868164015403855e-13
000590,14.82,10.18,2.74,4.78,12.25,640.0,188452.0,15.71,0.43,,77.68,-0.076158940397351,-0.06818181818181818,-0.3170731707317073,-0.001650709805216243,0.00597460791635549,0.09218569304477119,0.10387192851824274,78800.0,23929642.946317025,1.6557446889192216,3.98369311086505,4.694731098361267e-13
012030,-1.54,-0.13,-0.53,-0.38,38.73,0.0,777.0,-155.27,0.85,,0.0,0.02640845070422535,-1.5294117647058822,-2.0,-0.051470588235294115,-0.07493368700265252,0.29333333333333333,0.4016534619359283,903.5,21664.737702871407,0.3855133048538766,-0.9384306746965212,2.5844174567100328e-14
016610,-4.12,-3.71,0.73,0.23,888.92,-206.0,14713.0,38.34,0.27,,-47.4,0.11729074889867841,-1.297872340425532,-1.3588516746411483,0.06097542487227301,-0.01020979020979021,0.029850526687459543,0.28523230477261546,4185.0,85532.89950062436,0.5248141260768665,-0.8991792195030035,-1.941290110657815e-15
045890,-1.05,-33.76,-11.04,-4.9,144.41,-206.0,1738.0,-9.37,1.11,,0.0,-0.047619047619047616,-0.75,-inf,-0.03008849557522124,-0.1575984990619137,0.14375561545372867,0.3258655804480652,1762.5,7762.721598002478,0.7238931483299458,-0.2647779193062574,1.1354705738384942e-14
005830,3.0,2.27,15.03,1.44,900.94,1477.0,73115.0,7.62,0.97,,139.23,0.09716618407936584,-0.40583440583440583,-0.40499149177538285,0.007564712449283935,0.014483627204030227,0.09592065402332241,0.9633843909555069,61050.0,6768290.886391992,1.0059720641287957,0.3883939830802663,-4.607942347784342e-13
000990,8.85,30.46,27.62,11.13,118.07,1031.0,10531.0,4.85,1.14,,23.88,-0.08053691275167785,-0.5969696969696969,3.5445544554455446,0.004953998584571833,0.1193516699410609,0.1519842670566285,0.3492468134414832,15550.0,4941856.741573024,0.2642991132347218,-1.4478245163151378,4.945537091458845e-13
139130,5.29,3.63,7.97,0.57,1252.16,181.0,23088.0,5.9,0.46,,187.79,0.09819241982507289,-0.585,-0.6353944562899787,-0.019194697471306494,0.003779904306220096,0.016437724901573515,0.22486210272451587,11025.0,631139.8751560535,-0.018074168770810466,-1.092901679766198,-2.0889986876291573e-13
068790,5.23,-2.69,2.92,1.36,120.78,-100.0,5898.0,39.39,1.14,,-49.71,0.3089802130898021,21.5,-24.0,0.013238289205702648,-0.011695906432748537,0.29000168605631427,0.6323529411764706,6795.0,228951.67290886457,-0.05670245134203639,-0.35451518190484954,-1.158981359799205e-13
004840,13.92,9.59,5.36,2.77,54.99,631.0,17975.0,8.52,0.44,1.24,14.93,0.10866141732283464,1.8405797101449275,2.5526315789473686,-0.018687527162103434,0.009702009702009701,0.20589310521313153,0.3236781609195402,7300.0,266012.9837702869,0.4222729017641464,-0.10989321311826528,-6.190417447161775e-14
241520,4.32,4.64,,,66.66,4.0,1382.0,,3.89,,,-0.1111111111111111,-0.8333333333333334,-0.8,1.0561224489795917,0.3370165745856354,0.05342237061769616,0.07565011820330969,5155.0,399139.3539325836,0.5043882418556358,0.14948176867317153,-1.454643275337386e-13
155660,4.33,3.26,8.15,5.2,62.04,116.0,8721.0,7.47,0.59,,43.28,-0.010398613518197574,-0.16666666666666666,-0.24,0.03116531165311653,0.004992867332382311,0.25394707582833,0.40626111704019924,5605.0,343959.24157303246,-0.3220444085683082,-0.6343267468354927,-1.0095796353060521e-13
069730,-0.79,-0.09,3.91,2.6,50.77,-3.0,9032.0,15.05,0.58,,-1556.5,-0.1406926406926407,-1.5,-1.0,-0.005578093306288032,-0.0023006134969325155,0.20188151538265955,0.3047984644913628,5940.0,437826.0955056172,-0.5289287781037633,-0.7905792129344023,-1.1529709581574498e-13
017940,2.25,1.94,7.39,2.48,176.58,3709.0,203112.0,4.62,0.28,,45.45,0.52992117242145,0.4532710280373832,0.948905109489051,0.004995788434168869,0.015751867489444626,0.3992467043314501,1.1101264803029083,65300.0,25043995.006242115,0.13097261001682317,-1.5486104164272818,1.1958875762977933e-12
245620,,,,,27.22,,384.0,,0.0,,,,,,,,,,8050.0,1352972.071665161,1.0859191540539046,1.4624582219103117,-1.858098039010333e-12
037370,-2.4,-3.2,-1.23,-1.03,88.38,-178.0,6764.0,-131.89,1.63,,-28.1,0.02877697841726619,-1.7142857142857142,-inf,0.032873806998939555,-0.03544776119402985,0.4475743348982786,0.8148148148148148,10200.0,988747.365792764,-0.26800740073825186,-0.5522276308173031,-1.8353925623512776e-13
079190,-2.3,-13.95,-6.86,-3.05,112.25,-81.0,1728.0,-27.24,1.77,,0.0,-0.0056179775280898875,-0.0,1.7777777777777777,0.01555352241537054,0.07172131147540983,0.16068996822514753,0.35014836795252224,3377.5,145253.7328339575,1.4507716609987975,3.848788029795914,-4.339478454212773e-14
007700,22.3,16.93,28.66,21.22,35.19,2667.0,19218.0,8.63,2.18,,24.37,1.3654970760233918,2.6802721088435373,2.8055555555555554,0.12450815064643057,0.16032928263426108,0.6421484323323191,0.8807838867719108,46475.0,226306922.90886357,0.5021797909890047,-1.3927029879464765,4.085617149973369e-12
130500,5.38,4.04,5.95,4.25,29.7,49.0,4255.0,14.79,0.81,,183.24,0.007518796992481203,0.0,-0.2857142857142857,-0.024115755627009645,0.0064516129032258064,0.21806346623270953,0.2872454448017149,4010.0,118500.83957553029,-0.34076231490445424,-1.139286042175706,-7.279613057981392e-14
114090,14.38,11.12,15.33,11.02,37.56,230.0,8602.0,22.46,3.4,,261.43,-0.08002883922134102,-0.547911547911548,-0.5748502994011976,0.009099682889838687,0.017594186268885065,0.17513038704364534,0.2418957345971564,26150.0,2127362.359550563,-0.06635736279118762,-0.7711608327709323,8.921734553768837e-14
032860,-1.9,-0.49,1.08,0.73,30.99,-2.0,404.0,122.49,1.3,,0.0,-0.2696629213483146,-2.0,-1.5,-0.09137055837563451,0.0622568093385214,0.6914893617021277,0.9811320754716981,700.0,6304.1324594257285,0.8664592895438907,0.5541626515751519,1.5795268917800535e-14
900290,22.51,18.73,17.87,13.64,24.09,229.0,4562.0,4.3,0.73,,,0.11216216216216217,0.13496932515337423,0.16666666666666666,-0.024053224155578302,-0.017897091722595078,0.21315721315721314,0.2653982586262496,2905.0,73481.91011235937,-0.20613820872355224,-0.5510939510615702,-7.167707758880707e-14
078930,12.77,5.56,13.42,5.16,127.72,2289.0,81650.0,5.97,0.76,,78.64,-0.005225574576752105,0.08133682303201127,-0.09698608964451313,0.012395154203263965,0.015128275166516084,0.19237733778407792,0.43866911350697557,60350.0,17453977.52808988,-0.6950963627006452,-0.6209570127866537,-1.107818233797321e-12
083450,9.4,1.67,23.25,16.43,30.82,54.0,8194.0,7.52,1.51,0.81,178.11,-0.23776223776223776,-0.4918032786885246,-0.9,-0.034872761545711596,0.016883116883116882,0.31366906474820144,0.4211204121056021,9450.0,1527071.460674159,0.024548732683713628,-0.19764125556369194,-3.234271816873134e-13
006360,3.24,-3.1,-5.22,-1.21,322.77,-1381.0,45095.0,-12.0,0.63,,-21.29,0.12179555366450377,0.4430379746835443,10.69047619047619,0.005188648089300523,-0.03306969109088196,0.23158934943727696,0.9601529543868168,43750.0,52995789.325842656,-0.5238932241744669,-1.3011421654124897,1.857815431153811e-12
001250,0.7,0.07,6.22,1.65,260.58,9.0,4454.0,10.9,0.63,,278.6,-0.05097996036115393,-0.5973154362416108,-0.88,0.06897606484667737,-0.0295369211514393,0.6371230041395624,2.189786585365854,3565.0,117101.79775280887,0.9737290960518377,0.49136236234799524,-1.4239181378614155e-14
007070,1.49,0.52,5.88,2.35,112.77,196.0,26369.0,26.26,1.53,,306.85,-0.08241490727216394,-0.44244604316546765,-0.7304785894206549,-0.03549444097202493,0.009107391322679934,0.39974932510605476,0.8701364113326338,37200.0,12268136.392009936,0.03802918368098069,-1.0191778472428652,6.463700767703026e-13
028150,14.06,12.41,10.1,7.38,33.96,5247.0,168473.0,13.83,1.29,3.0,119.12,0.07391640866873066,0.3087248322147651,0.5779816513761468,0.0005616399887672002,-0.0006575239526582754,0.194764177428411,0.2607470049330514,180000.0,43248719.10112373,0.6917137065789405,-0.2253494099126141,-6.457375473269495e-13
078150,-6.91,-11.26,27.22,18.85,28.23,-56.0,2011.0,7.43,1.78,,-69.92,-0.5129789864029666,-1.165644171779141,-1.325925925925926,-0.09779179810725552,-0.03403465346534654,0.18668561952144042,0.24803273528485992,2722.5,138128.74219725325,0.2258080646720764,-0.7711635220602289,-9.965922492749019e-14
012630,12.72,4.81,14.36,6.71,120.74,845.0,40000.0,7.46,1.01,2.47,110.06,0.12049799911071588,0.12062937062937062,-0.43687064291247096,0.05333182996955688,0.02704108164326573,0.23721926308275218,0.517188301693176,39800.0,69106496.87890133,-0.6026021345658152,-1.1896101709511244,-1.4810825968158828e-12
039570,2.99,5.24,12.75,9.21,40.23,242.0,11953.0,10.11,1.22,,103.26,0.10932944606413994,-0.4772727272727273,-0.4520547945205479,0.05506692160611855,0.023933402705515087,0.28321548195013024,0.39125964010282777,13450.0,2698522.159800255,1.5457757294285421,1.8118149407549282,9.966652173431777e-14
089470,3.72,2.55,11.39,5.22,118.97,182.0,9056.0,6.99,0.75,,63.78,-0.040387042490534285,-0.39285714285714285,-0.46296296296296297,0.017098273572377157,0.012301013024602027,0.37544235042383345,0.8202085580726357,6490.0,87344.18227215917,-0.16593658944286785,-0.6642101344499212,-6.450694407183755e-14
294870,,,,,,,,,,,,,,,,,,,56900.0,51918491.22807019,0.9910737557793036,-0.26203301943679014,-5.206715764643256e-12
